"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:2000147","positive regulation of cell motility","9/14","121/1855",0.0743801652892562,9.85537190082645,8.78348637880213,2.43009526726484e-08,9.1470880696237e-06,8.26976917649121e-06,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/SPN/PTP4A1/ADAM10/AKIRIN1",9
"BP","GO:0040017","positive regulation of locomotion","9/14","122/1855",0.0737704918032787,9.77459016393443,8.74177176350553,2.61689464016458e-08,9.1470880696237e-06,8.26976917649121e-06,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/SPN/PTP4A1/ADAM10/AKIRIN1",9
"BP","GO:2000145","regulation of cell motility","10/14","176/1855",0.0568181818181818,7.52840909090909,7.93652402393885,3.32201355129791e-08,9.1470880696237e-06,8.26976917649121e-06,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",10
"BP","GO:0040012","regulation of locomotion","10/14","178/1855",0.0561797752808989,7.4438202247191,7.88277034197795,3.71455353081165e-08,9.1470880696237e-06,8.26976917649121e-06,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",10
"BP","GO:0002685","regulation of leukocyte migration","7/14","59/1855",0.11864406779661,15.7203389830508,10.018037183036,6.63182827863747e-08,1.30647017089158e-05,1.1811635207847e-05,"CXCL10/TGFB1/GPSM3/STK10/SPN/ADAM10/AKIRIN1",7
"BP","GO:0040011","locomotion","10/14","204/1855",0.0490196078431373,6.49509803921569,7.252854760584,1.41937906487628e-07,2.33014729817189e-05,2.10665734892164e-05,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",10
"BP","GO:0002687","positive regulation of leukocyte migration","6/14","43/1855",0.13953488372093,18.4883720930233,10.1157131269311,2.83978211929521e-07,3.49648173438223e-05,3.16112588542599e-05,"CXCL10/TGFB1/GPSM3/SPN/ADAM10/AKIRIN1",6
"BP","GO:0071675","regulation of mononuclear cell migration","6/14","43/1855",0.13953488372093,18.4883720930233,10.1157131269311,2.83978211929521e-07,3.49648173438223e-05,3.16112588542599e-05,"CXCL10/TGFB1/STK10/SPN/ADAM10/AKIRIN1",6
"BP","GO:0030335","positive regulation of cell migration","8/14","118/1855",0.0677966101694915,8.98305084745763,7.81271493588196,4.62878137147668e-07,5.06594405656058e-05,4.58005735704008e-05,"S100A11/CXCL10/TGFB1/GPSM3/SPN/PTP4A1/ADAM10/AKIRIN1",8
"BP","GO:0030334","regulation of cell migration","9/14","171/1855",0.0526315789473684,6.97368421052632,7.14761679571348,5.25143899763492e-07,5.1726674126704e-05,4.67654462315699e-05,"S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",9
"BP","GO:0050900","leukocyte migration","7/14","86/1855",0.0813953488372093,10.7848837209302,8.10089432176592,9.52537675827298e-07,8.45245082209988e-05,7.6417562334988e-05,"CXCL10/TGFB1/GPSM3/STK10/SPN/ADAM10/AKIRIN1",7
"BP","GO:0071674","mononuclear cell migration","6/14","53/1855",0.113207547169811,15,9.01530793878082,1.02974020167714e-06,8.45245082209988e-05,7.6417562334988e-05,"CXCL10/TGFB1/STK10/SPN/ADAM10/AKIRIN1",6
"BP","GO:0050921","positive regulation of chemotaxis","5/14","29/1855",0.172413793103448,22.8448275862069,10.3368739912717,1.18415822076179e-06,8.69757325075748e-05,7.86336838914329e-05,"CXCL10/TGFB1/GPSM3/ADAM10/AKIRIN1",5
"BP","GO:0048870","cell motility","10/14","255/1855",0.0392156862745098,5.19607843137255,6.2899281516553,1.23620330467619e-06,8.69757325075748e-05,7.86336838914329e-05,"MALAT1/S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",10
"BP","GO:0071677","positive regulation of mononuclear cell migration","5/14","32/1855",0.15625,20.703125,9.80186588439005,1.98347514478114e-06,0.000130248201173961,0.000117755787542796,"CXCL10/TGFB1/SPN/ADAM10/AKIRIN1",5
"BP","GO:0050920","regulation of chemotaxis","5/14","39/1855",0.128205128205128,16.9871794871795,8.797073503272,5.51035499922637e-06,0.000339231229639874,0.000306694758509573,"CXCL10/TGFB1/GPSM3/ADAM10/AKIRIN1",5
"BP","GO:0006935","chemotaxis","6/14","76/1855",0.0789473684210526,10.4605263157895,7.34219828017365,8.98488358130884e-06,0.000473770580510336,0.000428330121412497,"CXCL10/TGFB1/GPSM3/SPN/ADAM10/AKIRIN1",6
"BP","GO:0042330","taxis","6/14","76/1855",0.0789473684210526,10.4605263157895,7.34219828017365,8.98488358130884e-06,0.000473770580510336,0.000428330121412497,"CXCL10/TGFB1/GPSM3/SPN/ADAM10/AKIRIN1",6
"BP","GO:0016477","cell migration","9/14","238/1855",0.0378151260504202,5.01050420168067,5.77729351947441,9.13872185755978e-06,0.000473770580510336,0.000428330121412497,"S100A11/CXCL10/TGFB1/GPSM3/STK10/SPN/PTP4A1/ADAM10/AKIRIN1",9
"BP","GO:2000401","regulation of lymphocyte migration","4/14","21/1855",0.19047619047619,25.2380952380952,9.73868811892929,1.13159818353058e-05,0.00055731210538881,0.000503858980666774,"CXCL10/STK10/SPN/ADAM10",4
"BP","GO:0002690","positive regulation of leukocyte chemotaxis","4/14","25/1855",0.16,21.2,8.86518529507566,2.35048214593568e-05,0.00105237496079393,0.000951439184431383,"CXCL10/GPSM3/ADAM10/AKIRIN1",4
"BP","GO:0072676","lymphocyte migration","4/14","25/1855",0.16,21.2,8.86518529507566,2.35048214593568e-05,0.00105237496079393,0.000951439184431383,"CXCL10/STK10/SPN/ADAM10",4
"BP","GO:0002688","regulation of leukocyte chemotaxis","4/14","33/1855",0.121212121212121,16.0606060606061,7.61057063314876,7.34268249420838e-05,0.00314458358991098,0.00284297912590402,"CXCL10/GPSM3/ADAM10/AKIRIN1",4
"BP","GO:2000406","positive regulation of T cell migration","3/14","14/1855",0.214285714285714,28.3928571428571,8.96946304107313,0.000118763353596253,0.00487424597051288,0.00440674548870307,"CXCL10/SPN/ADAM10",3
"BP","GO:2000404","regulation of T cell migration","3/14","15/1855",0.2,26.5,8.64507742092692,0.000147791932539526,0.00582300214205733,0.00526450420751323,"CXCL10/SPN/ADAM10",3
"BP","GO:0045661","regulation of myoblast differentiation","3/14","16/1855",0.1875,24.84375,8.35094598912479,0.000181086207761461,0.00686038133250152,0.00620238590146544,"CXCL10/TGFB1/AKIRIN1",3
"BP","GO:2000403","positive regulation of lymphocyte migration","3/14","17/1855",0.176470588235294,23.3823529411765,8.08256927097801,0.000218909207904831,0.00798613221430586,0.00722016334844003,"CXCL10/SPN/ADAM10",3
